file_urls,image_urls,name,price,url
,https://allo.uaNone,,38 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 (82K200XMRA),36 555,https://allo.ua/ua/products/notebooks/lenovo-ideapad-gaming-3-15ach6-82k200tera_2.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Lenovo IdeaPad Gaming 3 15ACH6 (82K200XMRA),36 555,https://allo.ua/ua/products/notebooks/lenovo-ideapad-gaming-3-15ach6-82k200tera_2.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,36 555,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Lenovo Ideapad 3i 15ITL6 (82H800UKRA),21 999,https://allo.ua/ua/products/notebooks/lenovo-ideapad-3i-15itl6-82h800ukra.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук Lenovo Ideapad 3i 15ITL6 (82H800UKRA),21 999,https://allo.ua/ua/products/notebooks/lenovo-ideapad-3i-15itl6-82h800ukra.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,21 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук ASUS M1503IA-L1038 (90NB0Y61-M001E0),29 999,https://allo.ua/ua/products/notebooks/asus-m1503ia-l1038-90nb0y61-m001e0.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,Ноутбук ASUS M1503IA-L1038 (90NB0Y61-M001E0),29 999,https://allo.ua/ua/products/notebooks/asus-m1503ia-l1038-90nb0y61-m001e0.html
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
,https://allo.uaNone,,29 999,
,https://allo.uaNone,,,
,https://allo.uaNone,,,
